mean,std,feat__words__ngram_range,feat__char__use_idf,clf__loss,feat__words__min_df,feat__words__use_idf,clf__alpha
0.34475842624631553,0.2278118062859579,"(1, 5)",True,hinge,2,True,1e-05
0.34370754837882866,0.23119513386408461,"(1, 5)",True,hinge,2,False,1e-05
0.34489939766756378,0.22837569016441239,"(1, 6)",True,hinge,2,True,1e-05
0.34529668076380882,0.23270735238115489,"(1, 6)",True,hinge,2,False,1e-05
0.344079200307574,0.23439902503913435,"(1, 5)",True,hinge,3,True,1e-05
0.34231064975009612,0.23401458019158378,"(1, 5)",True,hinge,3,False,1e-05
0.34211841599384851,0.2347578865127844,"(1, 6)",True,hinge,3,True,1e-05
0.34281686530821481,0.23507185936367136,"(1, 6)",True,hinge,3,False,1e-05
0.32889273356401383,0.24585635153680929,"(1, 5)",False,hinge,2,True,1e-05
0.32669486095091632,0.24508103688683719,"(1, 5)",False,hinge,2,False,1e-05
0.32959118287838007,0.24341497388102812,"(1, 6)",False,hinge,2,True,1e-05
0.32816224529027299,0.24525402846210156,"(1, 6)",False,hinge,2,False,1e-05
0.32821350762527235,0.24672781993661844,"(1, 5)",False,hinge,3,True,1e-05
0.33009099064462388,0.246618863413686,"(1, 5)",False,hinge,3,False,1e-05
0.32855952838651797,0.24726607001974202,"(1, 6)",False,hinge,3,True,1e-05
0.32745738818403181,0.24498491023646599,"(1, 6)",False,hinge,3,False,1e-05
0.37900166602588747,0.20005281303213854,"(1, 5)",True,log,2,True,1e-05
0.38187235678585157,0.19900189837490115,"(1, 5)",True,log,2,False,1e-05
0.37895681148276306,0.19982854089131663,"(1, 6)",True,log,2,True,1e-05
0.38153915160835578,0.19884811564009672,"(1, 6)",True,log,2,False,1e-05
0.37887991798026399,0.2007640794906437,"(1, 5)",True,log,3,True,1e-05
0.38125080097398434,0.19977724915749437,"(1, 5)",True,log,3,False,1e-05
0.37866846084839162,0.20070641207370651,"(1, 6)",True,log,3,True,1e-05
0.38102012046648726,0.19994385470257506,"(1, 6)",True,log,3,False,1e-05
0.36014353453799819,0.21648904087197096,"(1, 5)",False,log,2,True,1e-05
0.36329616814045879,0.21545093818522351,"(1, 5)",False,log,2,False,1e-05
0.35999615532487506,0.21643137263383785,"(1, 6)",False,log,2,True,1e-05
0.36295655517108805,0.21532919449191845,"(1, 6)",False,log,2,False,1e-05
0.35997052415737535,0.21731564824120042,"(1, 5)",False,log,3,True,1e-05
0.36295014737921311,0.21600201272101519,"(1, 5)",False,log,3,False,1e-05
0.35984236831987698,0.21716186287856898,"(1, 6)",False,log,3,True,1e-05
0.36277072920671538,0.21616861760913905,"(1, 6)",False,log,3,False,1e-05
0.34440599769319491,0.17180130201466154,"(1, 5)",True,modified_huber,2,True,1e-05
0.34179802640010254,0.1767930053087185,"(1, 5)",True,modified_huber,2,False,1e-05
0.34459182365756758,0.17320460605403129,"(1, 6)",True,modified_huber,2,True,1e-05
0.3427143406382161,0.17768367663637677,"(1, 6)",True,modified_huber,2,False,1e-05
0.3339869281045752,0.1761587340167817,"(1, 5)",True,modified_huber,3,True,1e-05
0.33783801102140204,0.18209870773193232,"(1, 5)",True,modified_huber,3,False,1e-05
0.33314109957708571,0.17609466693780829,"(1, 6)",True,modified_huber,3,True,1e-05
0.33450595924644366,0.18245758677917537,"(1, 6)",True,modified_huber,3,False,1e-05
0.32675253107779062,0.19732376329613918,"(1, 5)",False,modified_huber,2,True,1e-05
0.32727156221965908,0.19747113585759946,"(1, 5)",False,modified_huber,2,False,1e-05
0.32694476483403817,0.19492724667093775,"(1, 6)",False,modified_huber,2,True,1e-05
0.32610534409842368,0.19725328587958244,"(1, 6)",False,modified_huber,2,False,1e-05
0.31925541458413431,0.19916930343634356,"(1, 5)",False,modified_huber,3,True,1e-05
0.3210495963091119,0.20365473475603799,"(1, 5)",False,modified_huber,3,False,1e-05
0.31778162245290276,0.19717009125854668,"(1, 6)",False,modified_huber,3,True,1e-05
0.32108804306036137,0.20043802274158234,"(1, 6)",False,modified_huber,3,False,1e-05
0.31730744585415871,0.19431222215871297,"(1, 5)",True,hinge,2,True,1e-06
0.31431500704857102,0.19831713043104574,"(1, 5)",True,hinge,2,False,1e-06
0.32957836729463025,0.20818493431117155,"(1, 6)",True,hinge,2,True,1e-06
0.3214020248622324,0.1857962142811255,"(1, 6)",True,hinge,2,False,1e-06
0.31207868768422409,0.19141596724036172,"(1, 5)",True,hinge,3,True,1e-06
0.31839677047289505,0.20485943362623249,"(1, 5)",True,hinge,3,False,1e-06
0.31431500704857107,0.18027278850830772,"(1, 6)",True,hinge,3,True,1e-06
0.31594899397667564,0.201886249565466,"(1, 6)",True,hinge,3,False,1e-06
0.307439446366782,0.204231610446892,"(1, 5)",False,hinge,2,True,1e-06
0.30807381776239906,0.20537859706285128,"(1, 5)",False,hinge,2,False,1e-06
0.3222734845572216,0.21802739624900155,"(1, 6)",False,hinge,2,True,1e-06
0.31660899653979241,0.21761737016265992,"(1, 6)",False,hinge,2,False,1e-06
0.31285403050108934,0.21616925732077194,"(1, 5)",False,hinge,3,True,1e-06
0.30619633474304753,0.21622701276991327,"(1, 5)",False,hinge,3,False,1e-06
0.31294373958733818,0.21554129256725235,"(1, 6)",False,hinge,3,True,1e-06
0.31877483019351532,0.21736103073119845,"(1, 6)",False,hinge,3,False,1e-06
0.32989875688837633,0.20172587599421182,"(1, 5)",True,log,2,True,1e-06
0.32946302704088171,0.2003930608681419,"(1, 5)",True,log,2,False,1e-06
0.33048827374086887,0.20230256970804669,"(1, 6)",True,log,2,True,1e-06
0.32989875688837628,0.20194374091799486,"(1, 6)",True,log,2,False,1e-06
0.32017172882224787,0.1984452112112568,"(1, 5)",True,log,3,True,1e-06
0.32634243239779565,0.20380845393027713,"(1, 5)",True,log,3,False,1e-06
0.32031270024349606,0.2004444404699291,"(1, 6)",True,log,3,True,1e-06
0.32445854158656928,0.20497469619486458,"(1, 6)",True,log,3,False,1e-06
0.31778162245290276,0.21739308241911526,"(1, 5)",False,log,2,True,1e-06
0.3178969627066513,0.21686764200713288,"(1, 5)",False,log,2,False,1e-06
0.31805715750352431,0.21795055678118236,"(1, 6)",False,log,2,True,1e-06
0.31774958349352811,0.21738667503783729,"(1, 6)",False,log,2,False,1e-06
0.31129052928360884,0.21543878908409192,"(1, 5)",False,log,3,True,1e-06
0.31645520953479434,0.21921932010252324,"(1, 5)",False,log,3,False,1e-06
0.31128412149173396,0.21563743071436661,"(1, 6)",False,log,3,True,1e-06
0.31604511085479947,0.21964223962199142,"(1, 6)",False,log,3,False,1e-06
0.3212995001922338,0.18216940539323873,"(1, 5)",True,modified_huber,2,True,1e-06
0.33119953863898499,0.1846490939744681,"(1, 5)",True,modified_huber,2,False,1e-06
0.31855696526976801,0.16868744643337893,"(1, 6)",True,modified_huber,2,True,1e-06
0.31336024605920798,0.18061241371355369,"(1, 6)",True,modified_huber,2,False,1e-06
0.33028963219274637,0.14931654123133903,"(1, 5)",True,modified_huber,3,True,1e-06
0.30571575035242854,0.15755086872060428,"(1, 5)",True,modified_huber,3,False,1e-06
0.31651928745354352,0.17655624097110365,"(1, 6)",True,modified_huber,3,True,1e-06
0.33640266564141996,0.17924085095003761,"(1, 6)",True,modified_huber,3,False,1e-06
0.31658977316416764,0.18619996684112647,"(1, 5)",False,modified_huber,2,True,1e-06
0.30915032679738563,0.18049071962048308,"(1, 5)",False,modified_huber,2,False,1e-06
0.31300781750608742,0.18255397916855093,"(1, 6)",False,modified_huber,2,True,1e-06
0.30750352428553118,0.18209909648608769,"(1, 6)",False,modified_huber,2,False,1e-06
0.29447648340381904,0.17801750001022676,"(1, 5)",False,modified_huber,3,True,1e-06
0.30893246187363832,0.2031614900697393,"(1, 5)",False,modified_huber,3,False,1e-06
0.27451621171344354,0.16227381117349635,"(1, 6)",False,modified_huber,3,True,1e-06
0.32706651287966165,0.18837207402154579,"(1, 6)",False,modified_huber,3,False,1e-06
